detail_link,title,satisfaction,institution,thumbnail,field
https://www.udemy.com/course/docker-mastery/,Docker Mastery: with Kubernetes +Swarm from a Docker Captain,4.7,Bret Fisher,https://img-c.udemycdn.com/course/240x135/1035000_c1aa_8.jpg,Development/Docker
https://www.udemy.com/course/docker-and-kubernetes-the-complete-guide/,Docker and Kubernetes: The Complete Guide,4.7,Stephen Grider,https://img-c.udemycdn.com/course/240x135/1793828_7999_2.jpg,Development/Docker
https://www.udemy.com/course/complete-python-developer-zero-to-mastery/,The Complete Python Developer,4.6,Andrei Neagoie,https://img-c.udemycdn.com/course/240x135/2473048_8255_5.jpg,Development/Python
https://www.udemy.com/course/sql-for-beginners-course/,SQL for Beginners: Learn SQL using MySQL and Database Design,4.6,Tim Buchalka's Learn Programming Academy,https://img-c.udemycdn.com/course/240x135/1419182_b2cf.jpg,Development/SQL
https://www.udemy.com/course/flutter-bootcamp-with-dart/,The Complete Flutter Development Bootcamp with Dart,4.5,"Dr. Angela Yu, Developer and Lead Instructor",https://img-b.udemycdn.com/course/240x135/2259120_305f_6.jpg,Development/Google Flutter
https://www.udemy.com/course/r-programming/,R Programming A-Z™: R For Data Science With Real Exercises!,4.6,Kirill Eremenko,https://img-b.udemycdn.com/course/240x135/765242_2578_6.jpg,Development/R (programming language)
https://www.udemy.com/course/the-python-bible/,The Python Bible™ | Everything You Need to Program in Python,4.6,Ziyad Yehia,https://img-b.udemycdn.com/course/240x135/903378_f32d_7.jpg,Development/Python
https://www.udemy.com/course/microservices-with-spring-boot-and-spring-cloud/,Master Microservices with Spring Boot and Spring Cloud,4.5,in28Minutes Official,https://img-b.udemycdn.com/course/240x135/1352468_3d97_8.jpg,Development/Microservices
https://www.udemy.com/course/understanding-typescript/,Understanding TypeScript,4.6,Maximilian Schwarzmüller,https://img-b.udemycdn.com/course/240x135/947098_02ec_2.jpg,Development/Typescript
https://www.udemy.com/course/datastructurescncpp/,Mastering Data Structures & Algorithms using C and C++,4.6,Abdul Bari,https://img-b.udemycdn.com/course/240x135/2121018_9de5_5.jpg,Development/Data Structures
https://www.udemy.com/course/python-and-django-full-stack-web-developer-bootcamp/,Python and Django Full Stack Web Developer Bootcamp,4.5,Jose Portilla,https://img-b.udemycdn.com/course/240x135/822444_a6db.jpg,Development/Django
https://www.udemy.com/course/nodejs-the-complete-guide/,"NodeJS - The Complete Guide (MVC, REST APIs, GraphQL, Deno)",4.6,Academind by Maximilian Schwarzmüller,https://img-b.udemycdn.com/course/240x135/1879018_95b6_3.jpg,Development/Express Framework
https://www.udemy.com/course/understand-javascript/,JavaScript: Understanding the Weird Parts (2024 Edition),4.7,Anthony Alicea,https://img-b.udemycdn.com/course/240x135/364426_2991_6.jpg,Development/JavaScript
https://www.udemy.com/course/deeplearning/,"Deep Learning A-Z 2024: Neural Networks, AI & ChatGPT Prize",4.5,Kirill Eremenko,https://img-b.udemycdn.com/course/240x135/1151632_de9b.jpg,Development/Deep Learning
https://www.udemy.com/course/java-programming-tutorial-for-beginners/,Java Programming for Complete Beginners,4.5,in28Minutes Official,https://img-b.udemycdn.com/course/240x135/1535678_0ce9_7.jpg,Development/Java
https://www.udemy.com/course/python-programming-projects/,Python for Beginners: Learn Python Programming (Python 3),4.5,Jason Cannon,https://img-b.udemycdn.com/course/240x135/666914_6c60_3.jpg,Development/Python
https://www.udemy.com/course/apache-kafka/,Apache Kafka Series - Learn Apache Kafka for Beginners v3,4.6,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",https://img-b.udemycdn.com/course/240x135/1075642_b6d2_10.jpg,Development/Apache Kafka
https://www.udemy.com/course/prompt-engineering-for-ai/,The Complete Prompt Engineering for AI Bootcamp (2024),4.5,Mike Taylor,https://img-b.udemycdn.com/course/240x135/5238734_c8a8_3.jpg,Development/Prompt Engineering
https://www.udemy.com/course/statistics-for-data-science-and-business-analysis/,Statistics for Data Science and Business Analysis,4.5,365 Careers,https://img-b.udemycdn.com/course/240x135/1298780_731f_4.jpg,Development/Data Science
https://www.udemy.com/course/the-complete-react-native-and-redux-course/,The Complete React Native + Hooks Course,4.6,Stephen Grider,https://img-b.udemycdn.com/course/240x135/959700_8bd2_12.jpg,Development/React Native
https://www.udemy.com/course/advanced-css-and-sass/,"Advanced CSS and Sass: Flexbox, Grid, Animations and More!",4.7,Jonas Schmedtmann,https://img-c.udemycdn.com/course/240x135/1026604_790b_2.jpg,Development/CSS
https://www.udemy.com/course/unitycourse2/,Complete C# Unity Game Developer 3D,4.7,Rick Davidson,https://img-c.udemycdn.com/course/240x135/1178124_76bb_11.jpg,Development/C#
https://www.udemy.com/course/ci-cd-devops/,"DevOps, CI/CD(Continuous Integration/Delivery) for Beginners",4.6,John Honai,https://img-c.udemycdn.com/course/240x135/2779762_87e5_4.jpg,Development/CI/CD
https://www.udemy.com/course/artificial-intelligence-az/,Artificial Intelligence A-Z 2024: Build 7 AI + LLM & ChatGPT,4.5,Hadelin de Ponteves,https://img-c.udemycdn.com/course/240x135/1219332_bdd7.jpg,Development/Artificial Intelligence
https://www.udemy.com/course/react-native-the-practical-guide/,React Native - The Practical Guide [2024],4.7,Academind by Maximilian Schwarzmüller,https://img-c.udemycdn.com/course/240x135/1436092_2024_4.jpg,Development/React Native
https://www.udemy.com/course/python-for-absolute-beginners-u/,Python for Absolute Beginners,4.5,Green Chameleon Learning,https://img-c.udemycdn.com/course/240x135/836376_8b97_4.jpg,Development/Python
https://www.udemy.com/course/introduction-to-openai-api-chatgpt-api-chatgpt-plugins/,Introduction to OpenAI API & ChatGPT API for Developers,4.5,Valentin Despa,https://img-c.udemycdn.com/course/240x135/5192882_641d_2.jpg,Development/ChatGPT
https://www.udemy.com/course/rest-api-automation-testing-rest-assured/,Rest API Testing (Automation) from Scratch-Rest Assured Java,4.6,Rahul Shetty,https://img-c.udemycdn.com/course/240x135/694982_33b0.jpg,Development/REST Assured
https://www.udemy.com/course/go-the-complete-developers-guide/,Go: The Complete Developer's Guide (Golang),4.6,Stephen Grider,https://img-c.udemycdn.com/course/240x135/1309202_1231_4.jpg,Development/Go (programming language)
https://www.udemy.com/course/csharp-intermediate-classes-interfaces-and-oop/,"C# Intermediate: Classes, Interfaces and OOP",4.5,Mosh Hamedani,https://img-c.udemycdn.com/course/240x135/383576_fd27_4.jpg,Development/Object Oriented Programming
https://www.udemy.com/course/the-complete-guide-to-jira-with-real-world-examples/,Learn JIRA with real-world examples (+Confluence bonus),4.6,Kosh Sarkar,https://img-c.udemycdn.com/course/240x135/1120038_2d02_6.jpg,Development/JIRA
https://www.udemy.com/course/javascript-basics-for-beginners/,JavaScript Basics for Beginners,4.6,Mosh Hamedani,https://img-c.udemycdn.com/course/240x135/1743420_0062.jpg,Development/JavaScript
https://www.udemy.com/course/master-the-coding-interview-data-structures-algorithms/,Master the Coding Interview: Data Structures + Algorithms,4.7,Andrei Neagoie,https://img-c.udemycdn.com/course/240x135/1917546_682b_3.jpg,Development/Coding Interview
https://www.udemy.com/course/html-and-css-for-beginners-crash-course-learn-fast-easy/,HTML and CSS for Beginners - Build a Website & Launch ONLINE,4.4,"Edwin Diaz | 900,000+ Students",https://img-c.udemycdn.com/course/240x135/405926_02c8_2.jpg,Development/CSS
https://www.udemy.com/course/c-programming-for-beginners-/,C Programming For Beginners - Master the C Language,4.4,Tim Buchalka's Learn Programming Academy,https://img-c.udemycdn.com/course/240x135/1467808_f8c0.jpg,Development/C (programming language)
https://www.udemy.com/course/relational-database-design/,Relational Database Design,4.4,Ben Brumm,https://img-c.udemycdn.com/course/240x135/299398_1a2c_2.jpg,Development/Database Design
https://www.udemy.com/course/certified-tester-foundation-level-ctfl/,ISTQB Foundation Level (CTFL) V4.0 updated 2024,4.5,Maged Koshty,https://img-c.udemycdn.com/course/240x135/269394_8054_9.jpg,IT & Software/ISTQB Certified Tester Foundation Level (CTFL)
https://www.udemy.com/course/the-complete-aspnet-mvc-5-course/,The Complete ASP.NET MVC 5 Course,4.4,Mosh Hamedani,https://img-c.udemycdn.com/course/240x135/806922_6310_3.jpg,Development/ASP.NET MVC
https://www.udemy.com/course/modern-javascript-from-the-beginning/,Modern JavaScript From The Beginning 2.0 (2024),4.7,Brad Traversy,https://img-c.udemycdn.com/course/240x135/1463348_52a4_4.jpg,Development/JavaScript
https://www.udemy.com/course/datascience/,Data Science A-Z: Hands-On Exercises & ChatGPT Prize [2024],4.6,Kirill Eremenko,https://img-c.udemycdn.com/course/240x135/513244_b831_4.jpg,Development/Data Science
https://www.udemy.com/course/alteryx-bootcamp/,Alteryx Bootcamp,4.6,Hendrik Kleine,https://img-c.udemycdn.com/course/240x135/1248866_794c_7.jpg,Development/Alteryx
https://www.udemy.com/course/data-science-and-machine-learning-with-python-hands-on/,"Machine Learning, Data Science and Generative AI with Python",4.6,Sundog Education by Frank Kane,https://img-c.udemycdn.com/course/240x135/671576_a272_4.jpg,Development/Data Science
https://www.udemy.com/course/certified-kubernetes-application-developer/,Kubernetes Certified Application Developer (CKAD) with Tests,4.7,Mumshad Mannambeth,https://img-c.udemycdn.com/course/240x135/1988542_3bcb_14.jpg,Development/Certified Kubernetes Application Developer (CKAD)
https://www.udemy.com/course/git-and-github-bootcamp/,The Git & Github Bootcamp,4.6,Colt Steele,https://img-c.udemycdn.com/course/240x135/3792262_6b0c_2.jpg,Development/Git
https://www.udemy.com/course/git-complete/,"Git Complete: The definitive, step-by-step guide to Git",4.5,Jason Taylor,https://img-c.udemycdn.com/course/240x135/221674_1411_4.jpg,Development/Git
https://www.udemy.com/course/complete-csharp-masterclass/,Complete C# Masterclass,4.6,Denis Panjuta,https://img-c.udemycdn.com/course/240x135/1581488_e3e1_4.jpg,Development/C#
https://www.udemy.com/course/testerbootcamp/,The Complete 2024 Software Testing Bootcamp,4.5,Tarek Roshdy,https://img-c.udemycdn.com/course/240x135/2125112_86f5_8.jpg,Development/Software Testing
https://www.udemy.com/course/javascript-the-complete-guide-2020-beginner-advanced/,JavaScript - The Complete Guide 2024 (Beginner + Advanced),4.6,Academind by Maximilian Schwarzmüller,https://img-c.udemycdn.com/course/240x135/2508942_11d3_3.jpg,Development/JavaScript
https://www.udemy.com/course/understand-nodejs/,Learn and Understand NodeJS,4.5,Anthony Alicea,https://img-c.udemycdn.com/course/240x135/461160_8d87_6.jpg,Development/Node.Js
https://www.udemy.com/course/the-modern-python3-bootcamp/,The Modern Python 3 Bootcamp,4.7,Colt Steele,https://img-c.udemycdn.com/course/240x135/1350984_2355_6.jpg,Development/Python
https://www.udemy.com/course/microsoft-sql-for-beginners/,Microsoft SQL for Beginners,4.5,Brewster Knowlton,https://img-c.udemycdn.com/course/240x135/459948_7533_2.jpg,Development/Microsoft SQL
https://www.udemy.com/course/docker-kubernetes-the-practical-guide/,Docker & Kubernetes: The Practical Guide [2024 Edition],4.8,Academind by Maximilian Schwarzmüller,https://img-c.udemycdn.com/course/240x135/3490000_d298_2.jpg,Development/Docker
https://www.udemy.com/course/master-practical-java-development/,The Complete Java Certification Course,4.5,Job Ready Programmer,https://img-c.udemycdn.com/course/240x135/827692_91ad_4.jpg,Development/Java
https://www.udemy.com/course/python-coding/,Python A-Z™: Python For Data Science With Real Exercises!,4.6,Kirill Eremenko,https://img-c.udemycdn.com/course/240x135/913448_e6e2_4.jpg,Development/Python
https://www.udemy.com/course/js-algorithms-and-data-structures-masterclass/,JavaScript Algorithms and Data Structures Masterclass,4.6,Colt Steele,https://img-c.udemycdn.com/course/240x135/1406344_1d65_3.jpg,Development/Algorithms
https://www.udemy.com/course/complete-android-n-developer-course/,The Complete Android N Developer Course,3.4,Rob Percival,https://img-c.udemycdn.com/course/240x135/951618_0839_2.jpg,Development/Android Development
https://www.udemy.com/course/complete-react-developer-zero-to-mastery/,"Complete React Developer (w/ Redux, Hooks, GraphQL)",4.6,Andrei Neagoie,https://img-c.udemycdn.com/course/240x135/2365628_0b60_9.jpg,Development/React JS
https://www.udemy.com/course/the-complete-angular-master-class/,The Complete Angular Course: Beginner to Advanced,4.5,Mosh Hamedani,https://img-c.udemycdn.com/course/240x135/1247828_32bb.jpg,Development/Angular
https://www.udemy.com/course/cpp-deep-dive/,Learn C++ Programming -Beginner to Advance- Deep Dive in C++,4.6,Abdul Bari,https://img-c.udemycdn.com/course/240x135/1672380_0d86_4.jpg,Development/C++
https://www.udemy.com/course/ethereum-and-solidity-the-complete-developers-guide/,Ethereum and Solidity: The Complete Developer's Guide,4.6,Stephen Grider,https://img-c.udemycdn.com/course/240x135/1466612_bead_3.jpg,Development/Ethereum
https://www.udemy.com/course/modern-html-css-from-the-beginning/,Modern HTML & CSS From The Beginning 2.0 (2024 Revamp),4.7,Brad Traversy,https://img-c.udemycdn.com/course/240x135/2153774_bef0_5.jpg,Development/CSS
https://www.udemy.com/course/python-core-and-advanced/,Python for beginners,4.5,Bharath Thippireddy,https://img-c.udemycdn.com/course/240x135/1386294_cf10_3.jpg,Development/Python
https://www.udemy.com/course/mongodb-the-complete-developers-guide/,MongoDB - The Complete Developer's Guide 2024,4.6,Academind by Maximilian Schwarzmüller,https://img-c.udemycdn.com/course/240x135/1906852_93c6_2.jpg,Development/MongoDB
https://www.udemy.com/course/nodejs-express-mongodb-bootcamp/,"Node.js, Express, MongoDB & More: The Complete Bootcamp",4.6,Jonas Schmedtmann,https://img-c.udemycdn.com/course/240x135/1672410_9ff1_5.jpg,Development/Node.Js
https://www.udemy.com/course/become-a-wordpress-developer-php-javascript/,Become a WordPress Developer: Unlocking Power With Code,4.7,Brad Schiff,https://img-c.udemycdn.com/course/240x135/1010586_b622_3.jpg,Development/WordPress
https://www.udemy.com/course/php-for-complete-beginners-includes-msql-object-oriented/,PHP for Beginners - Become a PHP Master - CMS Project,4.4,"Edwin Diaz | 900,000+ Students",https://img-c.udemycdn.com/course/240x135/405282_27d2_3.jpg,Development/PHP
https://www.udemy.com/course/angular-2-and-nodejs-the-practical-guide/,Angular & NodeJS - The MEAN Stack Guide [2024 Edition],4.6,Maximilian Schwarzmüller,https://img-c.udemycdn.com/course/240x135/833442_b26e_5.jpg,Development/Node.Js
https://www.udemy.com/course/the-agile-samurai-bootcamp/,The Agile Samurai Bootcamp,4.4,Jonathan Rasmusson,https://img-c.udemycdn.com/course/240x135/131816_9683_10.jpg,Development/Agile
https://www.udemy.com/course/spark-and-python-for-big-data-with-pyspark/,Spark and Python for Big Data with PySpark,4.5,Jose Portilla,https://img-b.udemycdn.com/course/240x135/980798_6081.jpg,Development/PySpark
https://www.udemy.com/course/github-copilot/,GitHub Copilot Zero to Hero: Use AI to write code for you!,4.5,Tom Phillips,https://img-b.udemycdn.com/course/240x135/4967038_3521_8.jpg,Development/GitHub
https://www.udemy.com/course/complete-machine-learning-and-data-science-zero-to-mastery/,"Complete A.I. & Machine Learning, Data Science Bootcamp",4.6,Andrei Neagoie,https://img-b.udemycdn.com/course/240x135/2511476_4e38_5.jpg,Development/Data Science
https://www.udemy.com/course/git-going-fast/,Git Going Fast: One Hour Git Crash Course,4.4,Jason Taylor,https://img-b.udemycdn.com/course/240x135/221696_d05a_4.jpg,Development/Git
https://www.udemy.com/course/python-complete/,The Complete Python Programming Course: Beginner to Advanced,4.0,Joseph Delgadillo,https://img-b.udemycdn.com/course/240x135/882826_4687_3.jpg,Development/Python
https://www.udemy.com/course/introduction-to-jira/,"Understanding Jira for users, managers and admins",4.6,Dan LeFebvre,https://img-b.udemycdn.com/course/240x135/770336_d591_4.jpg,Development/JIRA
https://www.udemy.com/course/build-an-app-with-aspnet-core-and-angular-from-scratch/,Build an app with ASPNET Core and Angular from scratch,4.7,Neil Cummings,https://img-b.udemycdn.com/course/240x135/1455016_0b2d_2.jpg,Development/ASP.NET
https://www.udemy.com/course/react-2nd-edition/,The Complete React Developer Course (w/ Hooks and Redux),4.5,Andrew Mead,https://img-b.udemycdn.com/course/240x135/1286908_1773_6.jpg,Development/React JS
https://www.udemy.com/course/java-in-depth-become-a-complete-java-engineer/,Java In-Depth: Become a Complete Java Engineer!,4.5,Dheeru Mundluru,https://img-b.udemycdn.com/course/240x135/358540_d06b_16.jpg,Development/Java
https://www.udemy.com/course/csharp-advanced/,C# Advanced Topics: Prepare for Technical Interviews,4.6,Mosh Hamedani,https://img-b.udemycdn.com/course/240x135/356030_0209_6.jpg,Development/C#
https://www.udemy.com/course/rest-api-flask-and-python/,REST APIs with Flask and Python in 2024,4.6,Jose Salvatierra,https://img-b.udemycdn.com/course/240x135/970600_68be_4.jpg,Development/Python
https://www.udemy.com/course/data-analysis-with-pandas/,Data Analysis with Pandas and Python,4.6,Boris Paskhaver,https://img-b.udemycdn.com/course/240x135/932344_e14a_2.jpg,Development/Pandas
https://www.udemy.com/course/elasticsearch-complete-guide/,Complete Guide to Elasticsearch,4.6,Bo Andersen,https://img-b.udemycdn.com/course/240x135/693188_6360_3.jpg,Development/Elasticsearch
https://www.udemy.com/course/java-se-programming/,Learn JAVA Programming - Beginner to Master,4.6,Abdul Bari,https://img-b.udemycdn.com/course/240x135/2462140_b27f_2.jpg,Development/Java
https://www.udemy.com/course/learn-how-to-code/,Learn How To Code: Google's Go (golang) Programming Language,4.6,Todd McLeod,https://img-b.udemycdn.com/course/240x135/642102_4e20_2.jpg,Development/Go (programming language)
https://www.udemy.com/course/learn-angularjs/,Learn and Understand AngularJS,4.6,Anthony Alicea,https://img-b.udemycdn.com/course/240x135/289230_1056_16.jpg,Development/AngularJS
https://www.udemy.com/course/the-complete-python-course/,The Complete Python Course | Learn Python by Doing in 2024,4.6,Codestars • over 2 million students worldwide!,https://img-c.udemycdn.com/course/240x135/1547268_1b84_3.jpg,Development/Python
https://www.udemy.com/course/learn-software-testing-in-practical-become-a-qa-expert/,MasterClass Software Testing with Jira & Agile -Be a QA Lead,4.4,Rahul Shetty,https://img-c.udemycdn.com/course/240x135/456460_2b1c_4.jpg,Development/Software Testing
https://www.udemy.com/course/oracle-sql-12c-become-an-sql-developer-with-subtitle/,The Complete Oracle SQL Bootcamp (2024),4.6,"Database Masters Training | 250,000+ Students Worldwide",https://img-c.udemycdn.com/course/240x135/549998_134f_16.jpg,Development/Oracle SQL
https://www.udemy.com/course/data-structures-and-algorithms-deep-dive-using-java/,Data Structures and Algorithms:  Deep Dive Using Java,4.5,Tim Buchalka,https://img-c.udemycdn.com/course/240x135/1419186_5b21_2.jpg,Development/Java Algorithms
https://www.udemy.com/course/mobile-automation-using-appiumselenium-3/,Appium -Mobile Testing (Android/IOS) from Scratch+Frameworks,4.5,Rahul Shetty,https://img-c.udemycdn.com/course/240x135/246314_3f1f_5.jpg,Development/Appium
https://www.udemy.com/course/writing-clean-code/,Clean Code,4.5,Academind by Maximilian Schwarzmüller,https://img-c.udemycdn.com/course/240x135/3611296_bcb5_6.jpg,Development/Software Practices
https://www.udemy.com/course/learn-jmeter-from-scratch-performance-load-testing-tool/,Learn JMETER from Scratch on Live Apps -Performance Testing,4.5,Rahul Shetty,https://img-c.udemycdn.com/course/240x135/380872_c6cc_5.jpg,Development/JMeter
https://www.udemy.com/course/the-ultimate-guide-to-game-development-with-unity/,The Ultimate Guide to Game Development with Unity (Official),4.6,Jonathan Weinberger,https://img-c.udemycdn.com/course/240x135/1328572_b05d_5.jpg,Development/2D Game Development
https://www.udemy.com/course/learn-selenium-automation-in-easy-python-language/,Selenium Webdriver with PYTHON from Scratch + Frameworks,4.5,Rahul Shetty,https://img-c.udemycdn.com/course/240x135/397068_f67e_5.jpg,Development/Selenium Testing Framework
https://www.udemy.com/course/learn-python-and-ethical-hacking-from-scratch/,Learn Python & Ethical Hacking From Scratch,4.7,Zaid Sabih,https://img-c.udemycdn.com/course/240x135/1527300_96c9_2.jpg,Development/Python
https://www.udemy.com/course/learning-python-for-data-analysis-and-visualization/,Learning Python for Data Analysis and Visualization Ver 1,4.4,Jose Portilla,https://img-c.udemycdn.com/course/240x135/396876_cc92_7.jpg,Development/Python
https://www.udemy.com/course/html5-fundamentals-for-beginners/,HTML5 and CSS3 Fundamentals,4.5,Stone River eLearning,https://img-c.udemycdn.com/course/240x135/594360_bee2_2.jpg,Development/CSS
https://www.udemy.com/course/nextjs-react-the-complete-guide/,Next.js 14 & React - The Complete Guide,4.7,Maximilian Schwarzmüller,https://img-c.udemycdn.com/course/240x135/3873464_403c_3.jpg,Development/Next.js
https://www.udemy.com/course/spring-framework-5-beginner-to-guru/,Spring Framework 5: Beginner to Guru,4.4,"John Thompson • 500,000+ Enrollments Worldwide",https://img-c.udemycdn.com/course/240x135/1217894_e8cc_4.jpg,Development/Spring Framework
https://www.udemy.com/course/solid-design/,SOLID Principles: Introducing Software Architecture & Design,4.5,George S,https://img-c.udemycdn.com/course/240x135/2521572_c415_9.jpg,Development/SOLID Principles
https://www.udemy.com/course/postman-the-complete-guide/,Postman: The Complete Guide - REST API Testing,4.7,Valentin Despa,https://img-c.udemycdn.com/course/240x135/1265410_cb96_4.jpg,Development/Postman
https://www.udemy.com/course/bash-scripting/,Bash Scripting and Shell Programming (Linux Command Line),4.5,Jason Cannon,https://img-c.udemycdn.com/course/240x135/958532_478a_4.jpg,Development/Bash Shell
https://www.udemy.com/course/sql-intro/,SQL Programming Basics,4.5,Global Academy,https://img-c.udemycdn.com/course/240x135/1745282_f418.jpg,Development/SQL
https://www.udemy.com/course/machine-learning-for-absolute-beginners-level-1/,Machine Learning for Absolute Beginners - Level 1,4.5,Idan Gabrieli,https://img-c.udemycdn.com/course/240x135/2792118_c9e1_7.jpg,Development/Machine Learning
https://www.udemy.com/course/gitlab-ci-pipelines-ci-cd-and-devops-for-beginners/,"GitLab CI/CD: Pipelines, CI/CD and DevOps for Beginners",4.5,Valentin Despa,https://img-c.udemycdn.com/course/240x135/2309602_ed2d_3.jpg,Development/CI/CD
